"","id","price","title","body","lat","long","posted","updated","header","file","bedrooms","bath","sqft","datePosted","parking","laundry","type","furnished"
"_apa_d_2-bed-1-bath-home-steps-from_6696327700.html","6696327700",1800,"$1800 / 2br - 2 Bed, 1 Bath Home Steps from Downtown!! (Davis)","
            QR Code Link to This Post
            
        
***Available Sept. 20th***

Location, location, location!  Steps to downtown.  This cozy house has two bedrooms and one bathroom, plus a large bonus room.  Hardwood floors throughout,   Nicely updated kitchen and bath.  Gas stove, refrigerator included and shared laundry room. Tenants pay water, sewer, and garbage. Call to schedule an appointment to see.  No pets.

To schedule a showing or view more listings visit our website:

* www.zabace.com *

    ",38.5538,-121.7418,"2018-09-12T15:51:17-0700","2018-09-18T16:50:34-0700","2BR / 1Ba","_apa_d_2-bed-1-bath-home-steps-from_6696327700.html",2,1,NA,2018-09-12,NA,"laundry in bldg","duplex",FALSE
"_apa_d_2-bed-2-bath-available_6703884917.html","6703884917",2000,"$2000 / 2br - 1100ft2 - *** 2 BED / 2 BATH AVAILABLE - 9/1/18 *** (DAVIS, CA)","
            QR Code Link to This Post
            
        
Awesome 2 bedroom, 2 full bathroom house with a patio and fenced-in yard on quiet residential street in South Davis. The house is a corner/end unit of a triplex, and the layout makes the house feel separate.
The house has laminate hardwood floors throughout, washer and dryer inside, lots of cabinet space in the kitchen, open floor plan in the living/dining area, sliding glass doors onto the backyard, solar lights in the bathrooms, granite counter-tops and remodeled kitchen. Second bedroom has a bonus area that can be used as an office. 
Neighbors in the triplex and on the street are academics and professional families, couples, and individuals. The house is a few blocks from Pioneer Elementary School and all assigned schools are rated 8/10-10/10.
Sorry no pets allowed. 
Available October 1st. Please e-mail at  show contact info
 with questions or to set up a showing. 
Weekly gardener included in the rent. City/Water/Sewer are paid by the landlord; remaining utilities are the tenant's responsibility. Sorry no pets or smokers please.    ",38.5462,-121.6676,"2018-09-21T11:38:24-0700",NA,"2BR / 2Ba","_apa_d_2-bed-2-bath-available_6703884917.html",2,2,1100,2018-09-21,"attached garage","w/d in unit","duplex",FALSE
"_apa_d_2-bedroom-1-bath-available_6701442051.html","6701442051",2000,"$2000 / 2br - 2 Bedroom 1 Bath Available Sept 1st","
            QR Code Link to This Post
            
        
***AVAILABLE Sept. 5th***

This Spacious two bedroom, one bathroom apartment is just blocks from downtown Davis, bus lines and the Davis Farmer's Market. Off-street parking and on-site laundry. Great place that won't last long! Visit our website to schedule a showing. Pets considered.


To schedule a showing contact:

Zabace Property Management
show contact info


(
Features
Laundry room
    Parking
    


To view more photos or more available listings, visit our website:

* www.zabace.com *

    ",38.5538,-121.7418,"2018-09-18T15:08:51-0700",NA,"2BR / 1Ba","_apa_d_2-bedroom-1-bath-available_6701442051.html",2,1,NA,2018-09-18,NA,"laundry on site","apartment",FALSE
"_apa_d_2-bedroom-1-bath-centrally_6704085381.html","6704085381",1795,"$1795 / 2br - 2 bedroom 1 bath Centrally located near schools, parks, downtown, UCD (Davis, CA)","
            QR Code Link to This Post
            
        
Centrally located 2 bedroom one bath with separate living and family rooms, laundry room w washer & dryer. Large tree shaded lot near shopping, parks, schools, library, UCD and downtown Davis. Non Smokers No pets. 
1,795 mo
3,300 Deposit
No Smoking
No Pets
Now showing    ",38.5538,-121.7418,"2018-09-21T14:52:26-0700","2018-09-21T18:03:19-0700","2BR / 1Ba","_apa_d_2-bedroom-1-bath-centrally_6704085381.html",2,1,NA,2018-09-21,NA,"w/d in unit","house",FALSE
"_apa_d_2-bedroom-1-bath-duplex-in_6700193790.html","6700193790",1800,"$1800 / 2br - 1100ft2 - 2 Bedroom 1 Bath Duplex in West Davis (Davis)","
            QR Code Link to This Post
            
        
2 Bedroom 1 Bath Duplex/Attached Home (Approximately 1100 Square Feet) with a no pet/animal and no smoking policy. Located in a nice, quiet residential neighborhood of West Davis.  The home is one block away from Arroyo Park/Greenbelt and one block from Unitrans ""K Line"" Bus Stop, with close access to Hwy 113. 
PLEASE NOTE BEFORE INQUIRING: 
Ã¢ÂÂ¢	No Pet/Animal Policy 
Ã¢ÂÂ¢	No Smoking Policy 
Ã¢ÂÂ¢	One-year lease at $1800 per month 
Ã¢ÂÂ¢	This property does not participate in Section 8
INCLUDES: 
Ã¢ÂÂ¢	Neutral Paint Colors
Ã¢ÂÂ¢	Large great-room (dining room/living room) with fireplace and vaulted ceiling
Ã¢ÂÂ¢	Carpet in great-room and bedrooms
Ã¢ÂÂ¢	Has central heat and air conditioning
Ã¢ÂÂ¢	Ceiling fans in bedrooms
Ã¢ÂÂ¢	Dual pane vinyl windows
Ã¢ÂÂ¢	Skylights
Ã¢ÂÂ¢	Kitchen has electric range, refrigerator, dishwasher and disposal 
Ã¢ÂÂ¢	Laundry/utility room inside house (electric hookups for washer and dryer) 
Ã¢ÂÂ¢	Single car garage with automatic opener
Ã¢ÂÂ¢	City utilities included (water, sewage & garbage)
Ã¢ÂÂ¢	Yard service
TENANT RESPONSIBILITY:
Ã¢ÂÂ¢	Phone and PG&E
Ã¢ÂÂ¢	Cable television/internet (hook up ready)
Ã¢ÂÂ¢	Washer and Dryer",38.5538,-121.7418,"2018-09-17T09:59:30-0700","2018-09-23T10:50:44-0700","2BR / 1Ba","_apa_d_2-bedroom-1-bath-duplex-in_6700193790.html",2,1,1100,2018-09-17,"attached garage","w/d hookups","duplex",FALSE
"_apa_d_2-bedroom-2-bathroom-at-low_6701426114.html","6701426114",1710,"$1710 / 2br - 840ft2 - 2 Bedroom 2 Bathroom at a LOW price! Come take advantage before it gets too late (Davis)","
            QR Code Link to This Post
            
        
Community AmenitiesHigh Speed Wireless Internet Ã¢ÂÂ¢ Sparkling Jr. Olympic Swimming Pool Ã¢ÂÂ¢ 24-Hour Fitness Center Ã¢ÂÂ¢ BBQ/Picnic Area Ã¢ÂÂ¢ 1/2 Mile Running Path Ã¢ÂÂ¢ Available 24/7 to Assist You Ã¢ÂÂ¢ Resident Study Lounge Ã¢ÂÂ¢ Car Washing Area Ã¢ÂÂ¢ Online Resident Portal Ã¢ÂÂ¢ Package Receiving Ã¢ÂÂ¢ Near Public TransportationApartment AmenitiesRefrigerator Ã¢ÂÂ¢ Vaulted Ceilings* Ã¢ÂÂ¢ Central Heat and Air Ã¢ÂÂ¢ Dishwasher Ã¢ÂÂ¢ Full Size Washer/Dryer* Ã¢ÂÂ¢ Built-in Dining Table Ã¢ÂÂ¢ Private Patio or Balcony Ã¢ÂÂ¢ Cable Ready Ã¢ÂÂ¢ Wood Inspired FlooringVisit our Community, we miss you.Phone:  show contact info
 Url: http://www.renaissancepark-davis.com/t/ad?ref=e11de11714f68ce88cd34ecd06e642a8Renaissance Park is nestled in a quiet, park-like setting just minutes away from UC Davis. Renaissance Park is located nearby shopping areas, only 1/4 mile away from I-80 and minutes from Highway 113, and on Davis bus lines P, Q, and W. We boast a 24-hour state-of-the-art fitness center, a junior Olympic-size pool, an exciting clubhouse with WiFi, video game room, and pool table. Best of all, we have unlimited parking!Exceptional Community with award winning staff!Renaissance Park3000 Lillard DriveDavis, CA 95618Mon-Fri: 9AM-6PMSaturday: 10AM-4PMSunday: 10AM-4PMWe are a pet-friendly community, but for the safety and comfort of all our residents, breed restrictions applyPets -  allowed, Rent $20.00, Deposit $400.00Comments: Breed restrictions apply.  A deposit and rent charge is required for each pet.Cats -  allowedDogs -  allowedFederal law prohibits housing discrimination on the basis of race, color, national origin, religion, sex, familial status, or disability.* Prices and availability are subject to change without notice.",38.543282,-121.714159,"2018-09-18T14:51:19-0700",NA,"2BR / 2Ba","_apa_d_2-bedroom-2-bathroom-at-low_6701426114.html",2,2,840,2018-09-18,NA,"w/d in unit","apartment",FALSE
"_apa_d_2-bedroom-2-full-bathroom_6701584989.html","6701584989",1900,"$1900 / 2br - 2850ft2 - 2 Bedroom 2 Full bathroom Condo close to all UC Davis (Davis)","
            QR Code Link to This Post
            
        
Very clean condominium ready for move in, end-unit home that's undergone touch-ups and remodels to keep everything beautiful and up-to-date, from the granite kitchen and bathroom counters to the plantation shutters throughout. Recent remodeling gives you a downstairs full bath to set you apart and the upstairs bathroom is just as nice, with a beautiful skylight. The private, fenced backyard gives you enough space to entertain outdoors. Located conveniently close to UC Davis, shopping, and public transportation! Partially furnished if preferred, call Zabace for an appointment to view.    ",38.5538,-121.7418,"2018-09-18T18:22:34-0700",NA,"2BR / 2Ba","_apa_d_2-bedroom-2-full-bathroom_6701584989.html",2,2,2850,2018-09-18,"off-street parking","w/d in unit","condo",FALSE
"_apa_d_2bed-1-bath-duplex-street_6702941208.html","6702941208",1980,"$1980 / 2br - 2bed 1 bath duplex F street Davis (Parkside apartments)","
            QR Code Link to This Post
            
        
2 bed/1 bath duplex available . Parkside apartments. F street. Davis . 
The apartment is in great condition. New laminate flooring. Carpet only in bedrooms. Central air/heat.    ",38.5538,-121.7418,"2018-09-20T10:43:43-0700",NA,"2BR / 1Ba","_apa_d_2bed-1-bath-duplex-street_6702941208.html",2,1,NA,2018-09-20,NA,NA,"apartment",FALSE
"_apa_d_2x1-coming-available-this_6701319203.html","6701319203",1861,"$1861 / 2br - 999ft2 - 2x1 coming available this October! (Woodland)","
            QR Code Link to This Post
            
        
Eaglewood Apartments
 1975 Maxwell Avenue
 Woodland, CA 95776
 Welcome home to Eaglewood Apartment homes! Located less than a mile from I-5, Eaglewood Apartments offer custom luxuries found only at the finest 5 star resorts!!
 Community Amenities:
 Clubhouse with free wifi
 Game room with billiard table
 24 hour fitness center
 TV theatre center with DVD library
 Espresso bar
 Pool and spa
 Gated access with controlled entry $
 Professional maintenance
 Covered parking
 Lush landscaping
 Detached garages available
 Tot lot
 - Full size washer & dryer in home
 - Laundry room
 - Custom cabinetry
 - Roman style soaking tubs
 - Outdoor storage closet
 - Built in desk with bookshelves
 - Individual hot water heaters
 - Covered patios & terraces
 - Prewired for high speed internet and cable
 - Energy efficient central heating and A/C
 - Tall 9 ft. ceilings
 - Ceiling fans
 - Dishwasher
 - Pantry
 - Garbage disposal
 - Built in microwave
 - Tile entry way
 - Walk in closet
 Lease Terms: 6 - 12 months
 Pet Policy: Cats and Dogs are welcome at Eaglewood! Under 25lbs $400 deposit over 25lbs $800 Deposit    ",38.668749,-121.73113,"2018-09-18T13:04:20-0700",NA,"2BR / 2Ba","_apa_d_2x1-coming-available-this_6701319203.html",2,2,999,2018-09-18,"carport","w/d in unit","apartment",FALSE
"_apa_d_3-4-bedroom-model-house_6701641667.html","6701641667",2300,"$2300 / 4br - 2450ft2 - 3-4 Bedroom Model House! (Woodland)","
            QR Code Link to This Post
            
        
Bedrooms: 3-4 
Bath: 3.5
Garage: 2 car
No Pets, No Smoking
Beautiful 3 bedroom, 3.5 baths, & a large office room. Custom curtains and paint in living and dining room, with a large open kitchen. Attached two car garage and large driveway. Gardening areas in the gated backyards, with multiple citruses and lemon trees on the property. Washer and dryer, refrigerator, and dishwasher. Tenant will be responsible for the WSG bill, but gardener fees are included in your rent. Very reasonable rent considering the market value. 
10 minutes drive to Davis, Costco and schools are within walking distance!
Will verify your backgrounds! Six months lease minimum!    ",38.669535,-121.738815,"2018-09-18T20:09:12-0700","2018-09-19T19:00:41-0700","4BR / 3.5Ba","_apa_d_3-4-bedroom-model-house_6701641667.html",4,5,2450,2018-09-18,"attached garage","laundry on site","house",FALSE
